,,,
,Work Package Ref,Service Reference,Work Package
,Work Package C - Maintenance Services,,20.15.3. Costs for all consumable items and replacement parts which are required to satisfactorily maintain the Services are of the same quality and type or better as provided for the original installation. Replacement components shall be of the same manufacturer as the equipment being serviced wherever possible. Costs for the provision of these consumables and replacement parts / components shall be included in the Charges.
,Work Package C - Maintenance Services,,"20.16.                  The Supplier shall be responsible for the safe keeping and storage of any materials that may be directly delivered to the Buyer Premises, including other site specific critical spares as agreed with the Buyer."
,Work Package C - Maintenance Services,,"20.17.                  The Supplier shall agree access arrangements for restricted areas in advance with the helpdesk in order to avoid being denied entry and delaying the execution of the Services. In multi-occupancy buildings, the Supplier shall liaise with landlords, landlord’s representatives and other relevant parties to ensure that the method statements are aligned with all of the building users' In respect of all of the Services."
,Work Package C - Maintenance Services,,20.18.                  The Supplier shall agree with the Buyer the process relating to the retention of all statutory and mandatory certificates and related documentation.
,Work Package C - Maintenance Services,,20.19.                  The Supplier shall provide expert and technical advice on all maintenance matters upon the request of the Buyer.
,Work Package C - Maintenance Services,,
,Work Package C - Maintenance Services,,21.   Service C:1 - Mechanical and Electrical Engineering Maintenance
,Work Package C - Maintenance Services,,
,Work Package C - Maintenance Services,C.1,"21.2.In addition, the following Standards Ref apply to this Service SC1.  "
,Work Package C - Maintenance Services,C.1,"21.3.The Supplier shall provide a professionally managed Mechanical and Electrical (""M&E"") Maintenance Service which ensures the maintenance and operation of all items of plant and equipment within the Buyer Premises, are in accordance with the Buyer’s requirements. "
,Work Package C - Maintenance Services,C.1,"21.4.The Supplier shall ensure the successful operation and optimum condition of all of the Buyer’s mechanical, electrical and plumbing systems. The Supplier shall ensure they are maintained at optimum performance in accordance with manufacturers’ and installers’ recommendations and statutory obligations. A list of plant and systems to be maintained shall be listed within the Asset registers in Call-Off Schedule 22 - Call-Off Tender. "
,Work Package C - Maintenance Services,C.1,"21.5.For the avoidance of doubt, these requirements include the maintenance of all gas, coal, biomass, LPG and oil fired systems and all associated infrastructure, to include storage tanks, pipework, flues, chimneys and air supply systems, cylinder storage facilities, bund storage equipment and detection systems as present within the Buyer Premises. "
